instance,optimum
XML100_1111_01,29888
XML100_1111_02,38374
XML100_1111_03,26322
XML100_1111_04,37554
XML100_1111_05,33149
XML100_1111_06,27039
XML100_1111_07,43143
XML100_1111_08,30140
XML100_1111_09,44883
XML100_1111_10,33868
XML100_1111_11,33202
XML100_1111_12,33059
XML100_1111_13,31387
XML100_1111_14,33469
XML100_1111_15,38924
XML100_1111_16,30145
XML100_1111_17,33605
XML100_1111_18,29087
XML100_1111_19,22719
XML100_1111_20,36098
XML100_1111_21,25052
XML100_1111_22,55795
XML100_1111_23,37197
XML100_1111_24,36733
XML100_1111_25,33710
XML100_1111_26,37730
XML100_1111_27,34996
XML100_1112_01,24781
XML100_1112_02,22916
XML100_1112_03,26980
XML100_1112_04,20461
XML100_1112_05,27833
XML100_1112_06,22830
XML100_1112_07,23362
XML100_1112_08,21549
XML100_1112_09,24512
XML100_1112_10,25194
XML100_1112_11,22629
XML100_1112_12,19645
XML100_1112_13,21710
XML100_1112_14,26274
XML100_1112_15,24272
XML100_1112_16,19017
XML100_1112_17,24215
XML100_1112_18,23599
XML100_1112_19,22294
XML100_1112_20,18654
XML100_1112_21,23786
XML100_1112_22,23315
XML100_1112_23,24503
XML100_1112_24,23904
XML100_1112_25,22054
XML100_1112_26,16307
XML100_1112_27,20487
XML100_1113_01,14740
XML100_1113_02,12795
XML100_1113_03,16763
XML100_1113_04,19276
XML100_1113_05,17473
XML100_1113_06,15063
XML100_1113_07,14550
XML100_1113_08,19200
XML100_1113_09,16643
XML100_1113_10,15675
XML100_1113_11,15838
XML100_1113_12,15439
XML100_1113_13,15302
XML100_1113_14,15157
XML100_1113_15,16750
XML100_1113_16,15674
XML100_1113_17,19367
XML100_1113_18,17451
XML100_1113_19,12189
XML100_1113_20,18200
XML100_1113_21,18939
XML100_1113_22,14115
XML100_1113_23,16372
XML100_1113_24,19248
XML100_1113_25,16767
XML100_1113_26,17103
XML100_1113_27,14297
XML100_1114_01,13650
XML100_1114_02,12579
XML100_1114_03,15432
XML100_1114_04,14030
XML100_1114_05,14059
XML100_1114_06,13895
XML100_1114_07,13786
XML100_1114_08,14601
XML100_1114_09,11847
XML100_1114_10,13777
XML100_1114_11,11097
XML100_1114_12,11443
XML100_1114_13,13276
XML100_1114_14,13898
XML100_1114_15,11091
XML100_1114_16,12053
XML100_1114_17,13124
XML100_1114_18,13839
XML100_1114_19,12530
XML100_1114_20,17235
XML100_1114_21,11802
XML100_1114_22,12255
XML100_1114_23,11793
XML100_1114_24,14095
XML100_1114_25,15367
XML100_1114_26,12990
XML100_1114_27,11757
XML100_1115_01,11095
XML100_1115_02,10675
XML100_1115_03,11355
XML100_1115_04,9370
XML100_1115_05,10499
XML100_1115_06,11494
XML100_1115_07,13076
XML100_1115_08,10682
XML100_1115_09,11124
XML100_1115_10,11410
XML100_1115_11,10444
XML100_1115_12,11821
XML100_1115_13,10862
XML100_1115_14,10761
XML100_1115_15,11299
XML100_1115_16,11643
XML100_1115_17,10879
XML100_1115_18,9504
XML100_1115_19,10345
XML100_1115_20,11093
XML100_1115_21,10493
XML100_1115_22,11377
XML100_1115_23,10217
XML100_1115_24,11055
XML100_1115_25,10794
XML100_1115_26,13358
XML100_1115_27,9325
XML100_1116_01,8383
XML100_1116_02,9366
XML100_1116_03,8463
XML100_1116_04,8577
XML100_1116_05,8766
XML100_1116_06,10099
XML100_1116_07,8423
XML100_1116_08,8620
XML100_1116_09,8889
XML100_1116_10,9105
XML100_1116_11,8873
XML100_1116_12,9471
XML100_1116_13,9528
XML100_1116_14,9375
XML100_1116_15,8173
XML100_1116_16,8450
XML100_1116_17,9134
XML100_1116_18,9386
XML100_1116_19,8295
XML100_1116_20,9645
XML100_1116_21,8294
XML100_1116_22,9685
XML100_1116_23,7902
XML100_1116_24,8522
XML100_1116_25,9028
XML100_1116_26,8589
XML100_1116_27,8950
XML100_1121_01,25764
XML100_1121_02,35093
XML100_1121_03,31405
XML100_1121_04,24425
XML100_1121_05,39334
XML100_1121_06,29023
XML100_1121_07,28653
XML100_1121_08,21644
XML100_1121_09,37803
XML100_1121_10,37656
XML100_1121_11,28618
XML100_1121_12,34122
XML100_1121_13,34021
XML100_1121_14,27699
XML100_1121_15,26292
XML100_1121_16,25708
XML100_1121_17,40753
XML100_1121_18,28306
XML100_1121_19,31865
XML100_1121_20,36844
XML100_1121_21,32367
XML100_1121_22,34243
XML100_1121_23,28540
XML100_1121_24,24368
XML100_1121_25,26180
XML100_1121_26,28384
XML100_1121_27,26735
XML100_1122_01,21308
XML100_1122_02,17816
XML100_1122_03,21933
XML100_1122_04,20613
XML100_1122_05,22617
XML100_1122_06,22937
XML100_1122_07,18281
XML100_1122_08,29764
XML100_1122_09,19508
XML100_1122_10,19941
XML100_1122_11,24201
XML100_1122_12,25040
XML100_1122_13,18149
XML100_1122_14,17334
XML100_1122_15,25073
XML100_1122_16,15833
XML100_1122_17,22159
XML100_1122_18,21581
XML100_1122_19,22167
XML100_1122_20,26451
XML100_1122_21,17807
XML100_1122_22,23053
XML100_1122_23,20338
XML100_1122_24,23456
XML100_1122_25,18752
XML100_1122_26,18756
XML100_1122_27,17055
XML100_1123_01,15771
XML100_1123_02,19392
XML100_1123_03,17573
XML100_1123_04,14792
XML100_1123_05,16928
XML100_1123_06,18533
XML100_1123_07,13327
XML100_1123_08,17717
XML100_1123_09,18434
XML100_1123_10,12108
XML100_1123_11,14511
XML100_1123_12,15513
XML100_1123_13,15405
XML100_1123_14,18973
XML100_1123_15,14271
XML100_1123_16,18258
XML100_1123_17,14007
XML100_1123_18,15572
XML100_1123_19,17939
XML100_1123_20,15889
XML100_1123_21,15250
XML100_1123_22,18698
XML100_1123_23,16185
XML100_1123_24,18687
XML100_1123_25,12759
XML100_1123_26,17426
XML100_1123_27,12464
XML100_1124_01,10860
XML100_1124_02,12003
XML100_1124_03,13063
XML100_1124_04,15062
XML100_1124_05,11627
XML100_1124_06,10623
XML100_1124_07,12201
XML100_1124_08,11172
XML100_1124_09,12553
XML100_1124_10,13116
XML100_1124_11,12570
XML100_1124_12,13818
XML100_1124_13,13606
XML100_1124_14,11661
XML100_1124_15,14365
XML100_1124_16,12220
XML100_1124_17,10446
XML100_1124_18,12789
XML100_1124_19,11032
XML100_1124_20,14173
XML100_1124_21,10402
XML100_1124_22,11197
XML100_1124_23,11090
XML100_1124_24,13462
XML100_1124_25,11515
XML100_1124_26,11101
XML100_1124_27,12986
XML100_1125_01,9893
XML100_1125_02,9539
XML100_1125_03,10437
XML100_1125_04,11779
XML100_1125_05,9138
XML100_1125_06,12142
XML100_1125_07,10469
XML100_1125_08,10517
XML100_1125_09,10747
XML100_1125_10,10157
XML100_1125_11,11623
XML100_1125_12,9314
XML100_1125_13,10684
XML100_1125_14,11639
XML100_1125_15,10879
XML100_1125_16,12051
XML100_1125_17,11720
XML100_1125_18,10546
XML100_1125_19,11501
XML100_1125_20,11239
XML100_1125_21,11632
XML100_1125_22,10083
XML100_1125_23,10374
XML100_1125_24,10378
XML100_1125_25,9813
XML100_1125_26,9044
XML100_1125_27,11205
XML100_1126_01,8477
XML100_1126_02,9278
XML100_1126_03,9102
XML100_1126_04,8320
XML100_1126_05,8328
XML100_1126_06,8334
XML100_1126_07,8707
XML100_1126_08,8346
XML100_1126_09,8231
XML100_1126_10,8804
XML100_1126_11,8002
XML100_1126_12,10144
XML100_1126_13,8765
XML100_1126_14,9294
XML100_1126_15,9010
XML100_1126_16,7929
XML100_1126_17,9668
XML100_1126_18,8737
XML100_1126_19,8485
XML100_1126_20,8320
XML100_1126_21,9209
XML100_1126_22,8213
XML100_1126_23,8263
XML100_1126_24,8819
XML100_1126_25,8800
XML100_1126_26,8599
XML100_1126_27,8855
XML100_1131_01,45399
XML100_1131_02,30282
XML100_1131_03,23892
XML100_1131_04,25253
XML100_1131_05,28926
XML100_1131_06,33003
XML100_1131_07,37158
XML100_1131_08,26355
XML100_1131_09,43013
XML100_1131_10,30731
XML100_1131_11,26475
XML100_1131_12,32539
XML100_1131_13,29052
XML100_1131_14,32492
XML100_1131_15,22153
XML100_1131_16,38102
XML100_1131_17,39276
XML100_1131_18,29564
XML100_1131_19,30061
XML100_1131_20,46565
XML100_1131_21,50208
XML100_1131_22,38976
XML100_1131_23,30000
XML100_1131_24,30735
XML100_1131_25,27025
XML100_1131_26,22287
XML100_1131_27,27446
XML100_1132_01,30531
XML100_1132_02,19178
XML100_1132_03,26815
XML100_1132_04,22282
XML100_1132_05,18539
XML100_1132_06,22127
XML100_1132_07,20602
XML100_1132_08,19999
XML100_1132_09,25027
XML100_1132_10,22190
XML100_1132_11,18370
XML100_1132_12,17476
XML100_1132_13,30399
XML100_1132_14,18263
XML100_1132_15,20108
XML100_1132_16,26602
XML100_1132_17,25103
XML100_1132_18,20949
XML100_1132_19,17346
XML100_1132_20,23974
XML100_1132_21,17508
XML100_1132_22,19590
XML100_1132_23,20438
XML100_1132_24,20579
XML100_1132_25,18475
XML100_1132_26,30772
XML100_1132_27,20061
XML100_1133_01,14460
XML100_1133_02,12924
XML100_1133_03,15679
XML100_1133_04,16426
XML100_1133_05,14906
XML100_1133_06,15686
XML100_1133_07,12350
XML100_1133_08,12159
XML100_1133_09,18490
XML100_1133_10,15157
XML100_1133_11,13338
XML100_1133_12,19428
XML100_1133_13,12315
XML100_1133_14,15989
XML100_1133_15,19519
XML100_1133_16,14622
XML100_1133_17,21858
XML100_1133_18,14671
XML100_1133_19,18249
XML100_1133_20,13549
XML100_1133_21,16566
XML100_1133_22,15247
XML100_1133_23,16623
XML100_1133_24,14289
XML100_1133_25,16367
XML100_1133_26,19592
XML100_1133_27,13480
XML100_1134_01,12191
XML100_1134_02,12769
XML100_1134_03,13960
XML100_1134_04,13924
XML100_1134_05,13370
XML100_1134_06,11310
XML100_1134_07,15415
XML100_1134_08,12357
XML100_1134_09,14098
XML100_1134_10,13001
XML100_1134_11,12358
XML100_1134_12,12805
XML100_1134_13,13145
XML100_1134_14,12682
XML100_1134_15,13334
XML100_1134_16,11670
XML100_1134_17,14796
XML100_1134_18,12913
XML100_1134_19,11938
XML100_1134_20,14682
XML100_1134_21,11962
XML100_1134_22,12896
XML100_1134_23,13265
XML100_1134_24,17340
XML100_1134_25,13759
XML100_1134_26,13465
XML100_1134_27,13584
XML100_1135_01,11220
XML100_1135_02,10093
XML100_1135_03,10123
XML100_1135_04,10103
XML100_1135_05,13149
XML100_1135_06,10467
XML100_1135_07,10967
XML100_1135_08,10974
XML100_1135_09,9424
XML100_1135_10,9686
XML100_1135_11,10765
XML100_1135_12,11700
XML100_1135_13,11606
XML100_1135_14,9495
XML100_1135_15,9056
XML100_1135_16,12509
XML100_1135_17,10351
XML100_1135_18,9883
XML100_1135_19,11825
XML100_1135_20,9648
XML100_1135_21,9534
XML100_1135_22,9644
XML100_1135_23,9555
XML100_1135_24,9492
XML100_1135_25,8970
XML100_1135_26,12154
XML100_1135_27,9771
XML100_1136_01,7935
XML100_1136_02,8096
XML100_1136_03,9526
XML100_1136_04,9261
XML100_1136_05,8475
XML100_1136_06,9936
XML100_1136_07,10399
XML100_1136_08,9060
XML100_1136_09,8541
XML100_1136_10,8505
XML100_1136_11,9102
XML100_1136_12,8335
XML100_1136_13,7939
XML100_1136_14,9485
XML100_1136_15,10433
XML100_1136_16,9377
XML100_1136_17,8955
XML100_1136_18,8316
XML100_1136_19,9050
XML100_1136_20,8382
XML100_1136_21,8150
XML100_1136_22,8691
XML100_1136_23,8751
XML100_1136_24,8610
XML100_1136_25,9535
XML100_1136_26,7832
XML100_1136_27,9376
XML100_1141_01,25196
XML100_1141_02,29875
XML100_1141_03,35593
XML100_1141_04,25031
XML100_1141_05,30071
XML100_1141_06,32622
XML100_1141_07,34567
XML100_1141_08,28504
XML100_1141_09,39896
XML100_1141_10,36861
XML100_1141_11,26011
XML100_1141_12,26926
XML100_1141_13,22189
XML100_1141_14,22351
XML100_1141_15,30393
XML100_1141_16,34478
XML100_1141_17,31875
XML100_1141_18,30771
XML100_1141_19,26048
XML100_1141_20,26026
XML100_1141_21,31577
XML100_1141_22,28976
XML100_1141_23,27572
XML100_1141_24,28272
XML100_1141_25,37226
XML100_1141_26,28572
XML100_1141_27,31983
XML100_1142_01,17779
XML100_1142_02,21178
XML100_1142_03,16955
XML100_1142_04,19309
XML100_1142_05,17273
XML100_1142_06,22916
XML100_1142_07,24770
XML100_1142_08,18802
XML100_1142_09,20802
XML100_1142_10,17271
XML100_1142_11,21583
XML100_1142_12,16033
XML100_1142_13,25287
XML100_1142_14,18269
XML100_1142_15,20234
XML100_1142_16,22872
XML100_1142_17,27107
XML100_1142_18,22174
XML100_1142_19,20871
XML100_1142_20,16896
XML100_1142_21,19662
XML100_1142_22,17973
XML100_1142_23,19007
XML100_1142_24,16329
XML100_1142_25,25776
XML100_1142_26,23828
XML100_1142_27,21749
XML100_1143_01,16243
XML100_1143_02,16336
XML100_1143_03,15506
XML100_1143_04,15424
XML100_1143_05,14581
XML100_1143_06,16767
XML100_1143_07,13266
XML100_1143_08,14137
XML100_1143_09,17142
XML100_1143_10,16685
XML100_1143_11,16448
XML100_1143_12,15938
XML100_1143_13,13399
XML100_1143_14,16603
XML100_1143_15,17342
XML100_1143_16,15028
XML100_1143_17,16092
XML100_1143_18,12390
XML100_1143_19,16113
XML100_1143_20,20466
XML100_1143_21,16378
XML100_1143_22,15667
XML100_1143_23,15934
XML100_1143_24,14536
XML100_1143_25,12742
XML100_1143_26,16007
XML100_1143_27,16824
XML100_1144_01,14895
XML100_1144_02,13703
XML100_1144_03,17256
XML100_1144_04,10623
XML100_1144_05,12321
XML100_1144_06,13613
XML100_1144_07,12589
XML100_1144_08,13345
XML100_1144_09,13053
XML100_1144_10,10716
XML100_1144_11,12853
XML100_1144_12,12301
XML100_1144_13,14603
XML100_1144_14,12192
XML100_1144_15,12554
XML100_1144_16,12783
XML100_1144_17,13735
XML100_1144_18,10704
XML100_1144_19,15113
XML100_1144_20,13203
XML100_1144_21,10799
XML100_1144_22,11398
XML100_1144_23,11808
XML100_1144_24,12066
XML100_1144_25,11758
XML100_1144_26,13882
XML100_1144_27,13233
XML100_1145_01,10169
XML100_1145_02,9995
XML100_1145_03,11156
XML100_1145_04,10373
XML100_1145_05,11102
XML100_1145_06,11065
XML100_1145_07,10052
XML100_1145_08,9731
XML100_1145_09,9646
XML100_1145_10,9262
XML100_1145_11,9373
XML100_1145_12,10666
XML100_1145_13,10055
XML100_1145_14,9362
XML100_1145_15,10705
XML100_1145_16,11920
XML100_1145_17,10345
XML100_1145_18,10330
XML100_1145_19,9765
XML100_1145_20,10128
XML100_1145_21,11524
XML100_1145_22,11448
XML100_1145_23,10716
XML100_1145_24,9355
XML100_1145_25,11388
XML100_1145_26,10194
XML100_1145_27,10646
XML100_1146_01,8503
XML100_1146_02,9781
XML100_1146_03,8967
XML100_1146_04,9146
XML100_1146_05,10512
XML100_1146_06,8813
XML100_1146_07,8987
XML100_1146_08,9149
XML100_1146_09,9693
XML100_1146_10,8636
XML100_1146_11,8571
XML100_1146_12,8461
XML100_1146_13,8542
XML100_1146_14,8052
XML100_1146_15,8359
XML100_1146_16,8801
XML100_1146_17,8894
XML100_1146_18,8269
XML100_1146_19,8690
XML100_1146_20,10166
XML100_1146_21,8807
XML100_1146_22,8478
XML100_1146_23,8460
XML100_1146_24,9108
XML100_1146_25,8565
XML100_1146_26,8419
XML100_1146_27,8456
XML100_1151_01,28050
XML100_1151_02,30168
XML100_1151_03,32983
XML100_1151_04,30120
XML100_1151_05,34554
XML100_1151_06,28007
XML100_1151_07,51004
XML100_1151_08,31527
XML100_1151_09,23616
XML100_1151_10,31542
XML100_1151_11,28534
XML100_1151_12,34365
XML100_1151_13,28571
XML100_1151_14,38011
XML100_1151_15,26403
XML100_1151_16,21700
XML100_1151_17,29815
XML100_1151_18,22102
XML100_1151_19,28023
XML100_1151_20,49495
XML100_1151_21,25461
XML100_1151_22,23867
XML100_1151_23,28738
XML100_1151_24,33216
XML100_1151_25,33111
XML100_1151_26,46188
XML100_1151_27,32424
XML100_1152_01,16457
XML100_1152_02,16498
XML100_1152_03,25067
XML100_1152_04,23047
XML100_1152_05,20845
XML100_1152_06,24468
XML100_1152_07,25848
XML100_1152_08,21376
XML100_1152_09,22022
XML100_1152_10,17323
XML100_1152_11,19207
XML100_1152_12,25682
XML100_1152_13,22261
XML100_1152_14,21504
XML100_1152_15,23309
XML100_1152_16,21869
XML100_1152_17,20707
XML100_1152_18,25223
XML100_1152_19,20518
XML100_1152_20,15886
XML100_1152_21,19426
XML100_1152_22,25768
XML100_1152_23,23107
XML100_1152_24,15772
XML100_1152_25,23070
XML100_1152_26,21500
XML100_1152_27,22685
XML100_1153_01,19182
XML100_1153_02,14919
XML100_1153_03,16257
XML100_1153_04,13470
XML100_1153_05,13727
XML100_1153_06,14087
XML100_1153_07,16355
XML100_1153_08,13211
XML100_1153_09,14255
XML100_1153_10,16196
XML100_1153_11,13571
XML100_1153_12,17024
XML100_1153_13,19670
XML100_1153_14,16386
XML100_1153_15,16659
