dataset,backbone,variant,model,instances,success,mean_cost,mean_gap_percent,mean_vehicles
Frozen CVRP50,AM,Direct,am_direct_n50,10000,10000,10.690463308143615,,
Frozen CVRP50,AM,Split,am_split_v4_n50,10000,10000,11.103735465097428,,
Frozen CVRP50,POMO,Direct,pomo_direct_n50,10000,10000,10.455830437564849,,
Frozen CVRP50,POMO,Split,pomo_split_v4_n50,10000,10000,10.69888903312683,,
Frozen CVRPTW50,AM,Direct,am_tw_direct_n50,10000,10000,16.042894787979126,,10.9262
Frozen CVRPTW50,AM,Split,am_tw_split_v4_n50,10000,10000,17.01271316537857,,12.4501
Frozen CVRPTW50,POMO,Direct,pomo_tw_direct_n50,10000,10000,15.071525067806244,,10.3091
Frozen CVRPTW50,POMO,Split,pomo_tw_split_v4_n50,10000,10000,15.763099152374268,,11.1383
CVRPLIB XML100,AM,Direct,am_direct_n50,10000,10000,18287.1414,9.261684850159307,12.2447
CVRPLIB XML100,AM,Split,am_split_v4_n50,10000,10000,18965.1351,12.288239548212431,12.9733
CVRPLIB XML100,POMO,Direct,pomo_direct_n50,10000,10000,18018.6918,5.891726551854188,12.2401
CVRPLIB XML100,POMO,Split,pomo_split_v4_n50,10000,10000,18826.5953,11.746077991472827,12.7535
Solomon50,AM,Direct,am_tw_direct_n50,56,56,844.8905632694666,,6.392857142857143
Solomon50,AM,Split,am_tw_split_v4_n50,56,56,927.6681456607229,,7.821428571428571
Solomon50,POMO,Direct,pomo_tw_direct_n50,56,56,753.9661902216292,,6.625
Solomon50,POMO,Split,pomo_tw_split_v4_n50,56,56,789.4445207903494,,7.785714285714286
