instance,distance_1x,distance_aug,vehicle_count,feasible
0,15.493620872497559,15.370638847351074,10,1
1,11.608765602111816,11.478887557983398,9,1
2,16.993988037109375,16.927522659301758,10,1
3,18.060955047607422,18.060955047607422,11,1
4,13.264963150024414,12.639674186706543,10,1
5,13.679790496826172,13.644923210144043,11,1
6,14.608779907226562,14.407976150512695,10,1
7,12.709712982177734,12.653947830200195,11,1
8,12.687394142150879,12.315011978149414,9,1
9,14.65195369720459,14.187660217285156,10,1
10,12.382024765014648,12.333097457885742,9,1
11,12.299201011657715,11.905792236328125,9,1
12,17.884796142578125,17.361007690429688,10,1
13,12.38813591003418,11.550909996032715,10,1
14,15.502840042114258,15.456671714782715,10,1
15,12.340402603149414,11.888781547546387,10,1
16,13.961103439331055,13.869237899780273,9,1
17,11.12851333618164,11.12851333618164,9,1
18,14.379697799682617,14.311811447143555,10,1
19,22.85220718383789,22.03624725341797,12,1
20,16.503393173217773,16.330928802490234,10,1
21,11.53901481628418,11.389660835266113,9,1
22,13.85543155670166,13.812328338623047,10,1
23,16.23117446899414,16.23117446899414,10,1
24,15.571208953857422,15.452478408813477,10,1
25,14.578483581542969,14.45765495300293,10,1
26,12.293274879455566,11.981840133666992,9,1
27,16.409555435180664,15.406327247619629,10,1
28,16.627269744873047,16.627269744873047,10,1
29,11.3469877243042,11.276188850402832,9,1
30,12.205926895141602,12.008195877075195,9,1
31,15.49770736694336,15.474893569946289,10,1
32,12.806461334228516,12.469894409179688,9,1
33,14.202980995178223,13.939804077148438,10,1
34,12.495773315429688,12.420320510864258,10,1
35,13.327960014343262,12.575435638427734,9,1
36,25.435993194580078,24.889827728271484,12,1
37,15.057172775268555,14.705116271972656,10,1
38,14.099691390991211,13.362957000732422,9,1
39,16.507980346679688,16.499256134033203,12,1
40,12.794929504394531,12.678268432617188,10,1
41,15.180481910705566,14.463979721069336,10,1
42,21.551544189453125,20.82505989074707,12,1
43,14.688087463378906,14.625551223754883,10,1
44,11.639533996582031,11.385282516479492,10,1
45,11.265937805175781,11.265937805175781,10,1
46,14.114245414733887,13.943474769592285,11,1
47,14.902070999145508,14.383614540100098,11,1
48,12.314533233642578,12.314533233642578,10,1
49,12.152957916259766,12.085766792297363,10,1
50,12.77000617980957,12.28197193145752,10,1
51,11.799434661865234,11.61379623413086,10,1
52,21.37860107421875,21.343780517578125,13,1
53,13.925018310546875,13.55193042755127,12,1
54,23.473203659057617,22.91808319091797,12,1
55,11.797078132629395,11.797078132629395,9,1
56,11.351364135742188,11.122003555297852,10,1
57,22.091541290283203,21.066740036010742,11,1
58,12.46688461303711,12.208342552185059,10,1
59,12.692436218261719,12.620594024658203,9,1
60,18.34466552734375,18.142620086669922,11,1
61,21.310718536376953,21.275985717773438,12,1
62,12.378021240234375,12.300210952758789,10,1
63,21.87285041809082,21.05174446105957,12,1
64,13.906953811645508,13.745232582092285,10,1
65,12.672479629516602,12.16514778137207,9,1
66,14.447160720825195,14.447160720825195,10,1
67,14.09019660949707,13.5908203125,10,1
68,12.096126556396484,12.079377174377441,9,1
69,15.144899368286133,15.12841510772705,10,1
70,16.555307388305664,16.555307388305664,11,1
71,13.144372940063477,12.760774612426758,10,1
72,17.187612533569336,17.01327896118164,10,1
73,17.79851531982422,17.518054962158203,11,1
74,11.873385429382324,11.843240737915039,10,1
75,12.232461929321289,12.08425235748291,9,1
76,14.618705749511719,14.618705749511719,10,1
77,13.253905296325684,13.111761093139648,10,1
78,12.168302536010742,12.03904914855957,9,1
79,18.458717346191406,18.458717346191406,11,1
80,13.778947830200195,13.540950775146484,10,1
81,11.791875839233398,11.652782440185547,10,1
82,22.711368560791016,21.842947006225586,12,1
83,17.294151306152344,17.234134674072266,11,1
84,13.398521423339844,13.28567123413086,11,1
85,13.639707565307617,13.632111549377441,10,1
86,18.38269805908203,18.3409481048584,11,1
87,17.64218521118164,16.72490692138672,10,1
88,14.361856460571289,13.807884216308594,10,1
89,13.224418640136719,12.862421035766602,10,1
90,22.168685913085938,21.389629364013672,11,1
91,12.581090927124023,12.283391952514648,9,1
92,14.00112533569336,13.848995208740234,10,1
93,12.425067901611328,12.425067901611328,10,1
94,20.32818603515625,20.32818603515625,12,1
95,13.660247802734375,13.493879318237305,10,1
96,13.060842514038086,13.003443717956543,10,1
97,15.645530700683594,15.560288429260254,10,1
98,12.172977447509766,12.107853889465332,11,1
99,14.515823364257812,14.47903823852539,10,1
100,15.115541458129883,15.106531143188477,11,1
101,14.45421028137207,14.42416000366211,10,1
102,20.597545623779297,20.43938446044922,12,1
103,15.54193115234375,15.26717472076416,10,1
104,12.687376022338867,12.542901039123535,9,1
105,11.563194274902344,11.333721160888672,9,1
106,14.481517791748047,13.769346237182617,10,1
107,20.518814086914062,20.476844787597656,11,1
108,13.343035697937012,12.841665267944336,10,1
109,11.138602256774902,11.011887550354004,9,1
110,16.177846908569336,15.944146156311035,12,1
111,13.606236457824707,13.330524444580078,10,1
112,16.919715881347656,16.85447883605957,11,1
113,19.26910400390625,19.10525131225586,11,1
114,23.888595581054688,23.035551071166992,12,1
115,17.941808700561523,17.919567108154297,11,1
116,15.617676734924316,15.523138046264648,11,1
117,18.78268051147461,18.44316864013672,11,1
118,13.994431495666504,13.915136337280273,10,1
119,15.48141860961914,14.738924980163574,10,1
120,19.221721649169922,18.86140251159668,12,1
121,16.753246307373047,16.553977966308594,11,1
122,13.206467628479004,13.142583847045898,10,1
123,12.111958503723145,11.804498672485352,10,1
124,15.140710830688477,14.866353034973145,10,1
125,14.450746536254883,14.03764533996582,10,1
126,18.699304580688477,18.601028442382812,11,1
127,12.690958023071289,12.690958023071289,9,1
128,14.114315032958984,13.834447860717773,11,1
129,16.66571044921875,16.22097396850586,11,1
130,14.81330680847168,14.788400650024414,11,1
131,13.257638931274414,13.117330551147461,9,1
132,13.410310745239258,13.012938499450684,10,1
133,13.109016418457031,12.679366111755371,9,1
134,12.704660415649414,12.283143997192383,10,1
135,16.77693748474121,16.4272518157959,11,1
136,17.479936599731445,17.479936599731445,11,1
137,16.910945892333984,16.686569213867188,11,1
138,16.26711654663086,16.215538024902344,11,1
139,14.239052772521973,14.10686206817627,11,1
140,13.29336929321289,13.164070129394531,10,1
141,12.303108215332031,11.976842880249023,9,1
142,16.939577102661133,16.476211547851562,10,1
143,13.20173454284668,12.88322639465332,10,1
144,11.929882049560547,11.76753044128418,9,1
145,13.801481246948242,13.667876243591309,10,1
146,13.637287139892578,13.283856391906738,10,1
147,12.598048210144043,12.254314422607422,10,1
148,11.14439582824707,10.929128646850586,9,1
149,20.0992431640625,19.448280334472656,12,1
150,11.34388542175293,10.77866268157959,9,1
151,19.067501068115234,18.93320655822754,11,1
152,12.074823379516602,11.955833435058594,9,1
153,13.575857162475586,13.454483032226562,10,1
154,12.88365364074707,12.663191795349121,11,1
155,12.552617073059082,12.521944046020508,10,1
156,17.9518985748291,17.416114807128906,10,1
157,18.905778884887695,17.963293075561523,11,1
