protocol,model,architecture,trained_size,checkpoint,instance,family,customers,max_fleet,fleet_limit_enforced,coordinate_scale,candidates_total,candidates_externally_feasible,selected_vehicles,selected_distance_raw,selected_distance_2dp,selected_exceeds_reported_fleet,distance_only_vehicles,distance_only_raw,distance_only_2dp,official_lex_vehicles,official_lex_raw,official_lex_2dp,same_candidate,sintef_double_bks_vehicles,sintef_double_bks_distance,sintef_vehicle_gap,sintef_official_distance_gap_pct,sintef_nonofficial_distance_only_gap_pct,legacy_reference_vehicles,legacy_reference_distance,legacy_distance_only_gap_pct_noncomparable,elapsed_seconds,status
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C101,C1,50,25,False,412.000000000000,400,400,8,497.859421304211,497.86,False,8,497.859421304211,497.86,8,497.859421304211,497.86,True,,,,,,5,362.4,37.378427512199444,0.8846626281738281,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C102,C1,50,25,False,412.000000000000,400,400,8,583.280835844670,583.28,False,8,583.280835844670,583.28,8,583.280835844670,583.28,True,,,,,,5,361.4,61.39480792602944,0.1451566219329834,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C103,C1,50,25,False,412.000000000000,400,400,6,561.703584836099,561.70,False,6,561.703584836099,561.70,6,561.703584836099,561.70,True,,,,,,5,361.4,55.42434555509118,0.14523553848266602,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C104,C1,50,25,False,412.000000000000,400,385,6,595.722875095829,595.72,False,6,595.722875095829,595.72,6,595.722875095829,595.72,True,,,,,,5,358.0,66.40303773626516,0.1293201446533203,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C105,C1,50,25,False,412.000000000000,400,400,8,498.409795666275,498.41,False,8,498.409795666275,498.41,8,498.409795666275,498.41,True,,,,,,5,362.4,37.53029681740492,0.14296913146972656,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C106,C1,50,25,False,412.000000000000,400,400,7,438.907438743147,438.91,False,7,438.907438743147,438.91,7,438.907438743147,438.91,True,,,,,,5,362.4,21.111324156497414,0.14147615432739258,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C107,C1,50,25,False,412.000000000000,400,400,7,569.446875100883,569.45,False,7,569.446875100883,569.45,7,569.446875100883,569.45,True,,,,,,5,362.4,57.13213992849978,0.19420647621154785,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C108,C1,50,25,False,412.000000000000,400,400,8,567.627959609835,567.63,False,8,567.627959609835,567.63,8,567.627959609835,567.63,True,,,,,,5,362.4,56.63023168041818,0.14161133766174316,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C109,C1,50,25,False,412.000000000000,400,400,10,622.172059929218,622.17,False,10,622.172059929218,622.17,10,622.172059929218,622.17,True,,,,,,5,362.4,71.6810319892986,0.14335846900939941,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C201,C2,50,25,False,1130.000000000000,400,400,7,782.979544460595,782.98,False,7,782.979544460595,782.98,7,782.979544460595,782.98,True,,,,,,3,360.2,117.37355481970998,0.12595558166503906,ok
