family,backbone,variant,model,instances,success,mean_distance,mean_vehicles,mean_elapsed_seconds
C1,POMO,Direct,pomo_tw_direct_n50,9,9,548.3478717922408,7.555555555555555,0.22977738910251194
C2,POMO,Direct,pomo_tw_direct_n50,8,8,748.9700385357054,5.5,0.1406959891319275
R1,POMO,Direct,pomo_tw_direct_n50,12,12,823.628945017227,8.916666666666666,0.12817017237345377
R2,POMO,Direct,pomo_tw_direct_n50,11,11,847.50319985787,5.090909090909091,0.13577168638055975
RC1,POMO,Direct,pomo_tw_direct_n50,8,8,830.6603454728015,7.5,0.12124809622764587
RC2,POMO,Direct,pomo_tw_direct_n50,8,8,680.4812744462141,4.5,0.12661778926849365
C1,POMO,Split,pomo_tw_split_v4_n50,9,9,527.6239957494411,7.444444444444445,0.799505975511339
C2,POMO,Split,pomo_tw_split_v4_n50,8,8,820.0912232306515,7.5,0.811710774898529
R1,POMO,Split,pomo_tw_split_v4_n50,12,12,857.5346503805466,10.166666666666666,0.7500250538190206
R2,POMO,Split,pomo_tw_split_v4_n50,11,11,835.4792833961782,6.636363636363637,0.8530540249564431
RC1,POMO,Split,pomo_tw_split_v4_n50,8,8,881.5892185172834,8.5,0.7606102526187897
RC2,POMO,Split,pomo_tw_split_v4_n50,8,8,795.768218325825,5.75,0.8584485352039337
C1,AM,Direct,am_tw_direct_n50,9,9,689.2749239172413,7.888888888888889,0.15651567776997885
C2,AM,Direct,am_tw_direct_n50,8,8,722.6317773746875,2.625,0.14509138464927673
R1,AM,Direct,am_tw_direct_n50,12,12,872.4678687308882,9.25,0.14011633396148682
R2,AM,Direct,am_tw_direct_n50,11,11,1002.4949584448951,5.181818181818182,0.1409442208030007
RC1,AM,Direct,am_tw_direct_n50,8,8,871.0718810488958,7.5,0.13954415917396545
RC2,AM,Direct,am_tw_direct_n50,8,8,857.9636240977231,4.75,0.13117900490760803
C1,AM,Split,am_tw_split_v4_n50,9,9,758.4311707835872,8.11111111111111,0.09903279940287273
C2,AM,Split,am_tw_split_v4_n50,8,8,1103.8447322160773,6.625,0.09679880738258362
R1,AM,Split,am_tw_split_v4_n50,12,12,899.655674290574,10.75,0.0922468105951945
R2,AM,Split,am_tw_split_v4_n50,11,11,995.7785592802226,5.818181818181818,0.09927821159362793
RC1,AM,Split,am_tw_split_v4_n50,8,8,942.9354405045352,9.125,0.09354421496391296
RC2,AM,Split,am_tw_split_v4_n50,8,8,874.9827493267453,5.75,0.09797975420951843
