model,architecture,training_size,aggregation,value,expected_count,failure_count,success_rate,status_counts_json,ok_count,mean_cost,mean_optimum,mean_absolute_error,mean_gap_percent,median_gap_percent,gap_std_percent,gap_sem_percent,gap_ci95_low_percent,gap_ci95_high_percent,gap_ci95_method,gap_p90_percent,gap_p95_percent,gap_p99_percent,gap_max_percent,optimal_hits,mean_vehicles,mean_inference_seconds_amortized,mean_postprocess_seconds,throughput_instances_per_inference_second,no_aug_ok_count,no_aug_failure_count,no_aug_success_rate,no_aug_mean_cost,no_aug_mean_absolute_error,no_aug_mean_gap_percent,no_aug_median_gap_percent,no_aug_gap_std_percent,no_aug_gap_sem_percent,no_aug_gap_ci95_low_percent,no_aug_gap_ci95_high_percent,no_aug_gap_ci95_method,no_aug_gap_p95_percent,no_aug_gap_p99_percent,no_aug_gap_max_percent,no_aug_optimal_hits,no_aug_mean_vehicles,macro_mean_of_complete_group_gaps,complete_groups,no_aug_macro_mean_of_complete_group_gaps,no_aug_complete_groups
am_direct_n50,am,50,overall,CVRPLIB XML100,10000,0,1.0,"{""ok"": 10000}",10000,18287.1414,16975.9245,1311.2169,9.261684850159307,7.918307611214328,4.970497011949065,0.04970497011949065,9.16425310492282,9.359116595395795,student_t,15.561164643591953,18.56525583003463,27.51968784362779,59.77553310886644,0,12.2447,0.0010612432550638914,0.0006586327377706766,942.2910300992166,10000,0,1.0,19195.9767,2220.0522,16.94016772733198,11.722761594759149,32.46405303708229,0.32464053037082286,16.303806949476385,17.57652850518757,student_t,35.00054714354029,118.68293368789985,1539.2080976481095,0,12.8741,9.263507195276421,378,16.956837790918907,378
am_direct_n50,am,50,depot,centered,3322,0,1.0,"{""ok"": 3322}",3322,14161.095725466586,13102.07344972908,1059.0222757375075,9.090520407945462,7.965125371548374,4.5730758276763614,0.07934299474101389,8.93495429888224,9.246086517008685,student_t,14.41700894098815,16.77129811173644,28.474600384263407,41.96467040068936,0,12.31848284166165,0.001028060339314696,0.0006522118444187249,972.70555215329,3322,0,1.0,14948.918422636965,1846.8449729078868,17.151275915979156,12.144104094769638,30.072013820753472,0.521750288939359,16.128291308228373,18.174260523729938,student_t,36.946387406534924,119.78273437810104,1126.7177152317881,0,12.897350993377483,,,,
am_direct_n50,am,50,depot,cornered,3276,0,1.0,"{""ok"": 3276}",3276,23253.882783882786,21684.612637362636,1569.2701465201465,8.995173119834476,7.459391624717148,5.073647490412732,0.08864379551786468,8.821370240023626,9.168975999645326,student_t,16.01569683186672,19.07947737928421,26.19982730647439,49.23979148566464,0,12.153846153846153,0.0010708849986214009,0.0006617488253120246,933.8070859964848,3276,0,1.0,24332.597374847373,2647.9847374847377,16.284645926038078,10.962129689272334,29.937243063707278,0.5230459659490461,15.259115660503909,17.310176191572246,student_t,34.5826414136456,104.74540028933164,701.0523105078541,0,12.859279609279609,,,,
am_direct_n50,am,50,depot,random,3402,0,1.0,"{""ok"": 3402}",3402,17533.372721928277,16224.387419165198,1308.9853027630807,9.685465186896089,8.287292333805915,5.210529614361082,0.08933357495251132,9.510312263469029,9.860618110323148,student_t,16.28974617299908,19.470972676948378,27.531778602019834,59.77553310886644,0,12.260141093474427,0.0010843612133897074,0.0006619019632056347,922.2019264909018,3402,0,1.0,18396.787477954145,2172.4000587889477,17.365267086048295,12.043237876943076,36.76684597111675,0.6303608334315064,16.129342711051116,18.601191461045474,student_t,34.19834922838812,118.85865285969557,1539.2080976481095,0,12.865667254556143,,,,
am_direct_n50,am,50,customer,clustered,3322,0,1.0,"{""ok"": 3322}",3322,17025.543046357616,15697.985851896448,1327.557194461168,10.794029026282955,8.800530673150446,6.470494747362285,0.11226326657535068,10.573916845883655,11.014141206682254,student_t,19.469774824375534,24.218701678327015,32.33213140424851,59.77553310886644,0,12.235099337748345,0.0011421505743667117,0.0006627116827793253,875.5413011585359,3322,0,1.0,18574.425346177002,2876.439494280554,25.662346935828076,14.010821533674921,54.259164045019354,0.9413980283076236,23.81656800069161,27.50812587096454,student_t,77.87410923832397,227.04738069045743,1539.2080976481095,0,13.605057194461168,,,,
am_direct_n50,am,50,customer,random,3360,0,1.0,"{""ok"": 3360}",3360,19124.017261904763,17826.371428571427,1297.6458333333333,8.27985852821787,7.3733406028981,3.636551369386611,0.0627364713698244,8.156852980905347,8.402864075530394,student_t,13.395138267837476,15.48540211246357,19.675034297267374,28.397679089488953,0,12.248214285714285,0.001015019212302702,0.0006544574984304962,985.2030265824931,3360,0,1.0,19690.597619047618,1864.2261904761904,12.045706506395952,10.752301939411897,5.750938135120694,0.09921310852388343,11.851182293476528,12.240230719315376,student_t,23.101678704754324,30.766090186814143,48.564242297212324,0,12.454166666666667,,,,
am_direct_n50,am,50,customer,random_clustered,3318,0,1.0,"{""ok"": 3318}",3318,18702.791440626883,17394.191681735985,1308.599758890898,8.7217478666272,7.685198387212594,3.9427876546881344,0.06844869888560598,8.587541910922598,8.855953822331804,student_t,14.38215354080888,16.354173013770087,20.594421462910407,29.90481602500355,0,12.250753465943339,0.0010270475555321334,0.0006587769658792587,973.6647486414398,3318,0,1.0,19317.395418927066,1923.203737191079,13.163889961123726,11.271488025875964,9.009669695349109,0.1564122194870015,12.857215740256315,13.470564181991136,student_t,25.87395952981748,39.102474793009826,180.4374405651406,0,12.567510548523206,,,,
am_direct_n50,am,50,demand,large_large_cv,1428,0,1.0,"{""ok"": 1428}",1428,18107.05182072829,16865.07913165266,1241.9726890756303,8.782727413830894,7.388875853280454,4.477170404982112,0.11847849275700535,8.55031670991983,9.015138117741959,student_t,14.604874019279917,17.769447580101904,25.55822480858825,39.47858472998138,0,12.027310924369749,0.0010151529847464919,0.0006587169307912765,985.0732008138892,1428,0,1.0,18864.690476190477,1999.611344537815,15.07353178690961,10.908452574042768,18.285883234173454,0.48389578424458496,14.124308369065018,16.022755204754205,student_t,31.140126913145785,95.19178694252551,291.79008746355686,0,12.497899159663865,,,,
am_direct_n50,am,50,demand,large_small_cv,1428,0,1.0,"{""ok"": 1428}",1428,18128.449579831933,16864.83823529412,1263.611344537815,8.881390920000488,7.471267582203009,4.523750371776528,0.11971112939114657,8.646562241812903,9.116219598188072,student_t,14.986152055035033,18.02125577173239,25.6790497781087,36.93918245264207,0,12.086134453781513,0.0010017231441411406,0.0006586548478371289,998.2798199769877,1428,0,1.0,18978.843137254902,2114.0049019607845,16.423282379526196,10.872269817945188,23.77224028925048,0.6290801877439388,15.189261201100726,17.657303557951664,student_t,37.036942476179064,117.87841197732043,362.0374054914445,0,12.688375350140056,,,,
am_direct_n50,am,50,demand,many_small_few_large,1428,0,1.0,"{""ok"": 1428}",1428,19148.241596638654,17351.792717086835,1796.4488795518207,11.682532902915744,10.807955911653245,4.638595864702978,0.12275026341354603,11.441742574972245,11.923323230859243,student_t,16.727650415100364,20.038023837388817,29.021182927079398,59.77553310886644,0,13.034313725490197,0.0011741320996924176,0.0006650008850780522,851.6929230211539,1428,0,1.0,20413.563725490196,3061.7710084033615,21.159976091101846,16.12509645071209,45.802277409971225,1.2120567906758748,18.78237180743738,23.537580374766314,student_t,34.68322117032776,133.5947385091395,1539.2080976481095,0,13.819327731092438,,,,
am_direct_n50,am,50,demand,quadrant_dependent,1428,0,1.0,"{""ok"": 1428}",1428,18088.87675070028,16782.92086834734,1305.9558823529412,9.36369830686856,7.85792743288342,4.943624760915389,0.1308221839797957,9.107073875223524,9.620322738513597,student_t,15.936153748069463,19.194530875362197,28.407579774522198,40.958933562674694,0,12.107843137254902,0.0010624027269920439,0.0006613511858241898,941.26264418699,1428,0,1.0,19078.145658263304,2295.2247899159665,18.598814088378937,11.610153629463852,45.861411586519566,1.213621646929744,16.218140139199505,20.97948803755837,student_t,37.69494303045736,118.48865143156476,1126.7177152317881,0,12.869747899159664,,,,
am_direct_n50,am,50,demand,small_large_cv,1428,0,1.0,"{""ok"": 1428}",1428,17686.222689075632,16498.039215686276,1188.1834733893556,8.700179858962269,7.20338905076296,4.857511690352829,0.12854339048210425,8.448025571970007,8.95233414595453,student_t,14.825276608698896,18.39358206113762,27.45793408440856,41.76484176484176,0,11.733893557422968,0.0010151691577939906,0.000659385677792278,985.0575072365733,1428,0,1.0,18485.060224089637,1987.0210084033613,15.965185181966808,10.7589745249895,27.548784378823097,0.7290181420967682,14.53512293500572,17.395247428927895,student_t,36.080009493061084,118.31295093029081,701.0523105078541,0,12.243697478991596,,,,
am_direct_n50,am,50,demand,small_small_cv,1428,0,1.0,"{""ok"": 1428}",1428,18047.06582633053,16808.863445378152,1238.202380952381,8.7730549830949,7.259002939425956,4.723732838905076,0.1250032266624168,8.527845179832537,9.018264786357262,student_t,14.69867541034576,17.562553571065365,27.575087796907024,49.23979148566464,0,11.936274509803921,0.001040661345842211,0.0006520651927849158,960.9273987117264,1428,0,1.0,18875.17086834734,2066.307422969188,16.016650734483843,10.529310247091413,31.13441356838795,0.8239039524497613,14.400457845056366,17.63284362391132,student_t,33.29695387504252,118.46295205396486,690.5004633920297,0,12.553921568627452,,,,
am_direct_n50,am,50,demand,unitary,1432,0,1.0,"{""ok"": 1432}",1432,18802.6375698324,17658.027234636873,1144.6103351955308,8.649923183556025,6.970787003736217,5.785019755094278,0.1528738972763416,8.350042209860595,8.949804157251455,student_t,16.028573359056153,18.93613935867458,27.569223433068316,49.333598567734235,0,12.785614525139664,0.0011192987059283996,0.0006552638808608721,893.4165604797626,1432,0,1.0,19675.02094972067,2016.9937150837989,15.3481931415219,10.761729462293609,22.929080324968837,0.6059197753220371,14.159606892056221,16.53677939098758,student_t,34.00683593514711,109.05583537979084,397.18204488778053,0,13.44413407821229,,,,
am_direct_n50,am,50,route_size,long,1667,0,1.0,"{""ok"": 1667}",1667,13462.587882423515,12421.437312537493,1041.1505698860228,8.606670341108577,8.156575395295025,2.9119737896808253,0.07132136751058653,8.466781400092959,8.746559282124196,student_t,12.389373427319173,13.8328390289724,16.663046752142662,41.83889772125066,0,7.958008398320336,0.0010467654903106175,0.0006536888567608991,955.3238134582176,1667,0,1.0,14165.500299940011,1744.0629874025194,14.513227642927166,12.135149478153194,15.019488774604852,0.3678640523863144,13.791703161243655,15.234752124610678,student_t,24.864974945299586,64.43470503940449,386.2239583333333,0,8.348530293941211,,,,
am_direct_n50,am,50,route_size,medium,1667,0,1.0,"{""ok"": 1667}",1667,16869.43371325735,15681.440311937613,1187.993401319736,7.8280477307520675,7.127288578901482,3.0820591511278774,0.07548717443334245,7.679988022135656,7.976107439368479,student_t,12.30984067754228,14.53664664689988,17.237417880888348,23.864959254947614,0,11.079184163167367,0.001050910175919458,0.0006580494062658835,951.5561109921542,1667,0,1.0,17477.711457708458,1796.2711457708458,11.839011433769027,10.620283452972576,6.499052683762424,0.15917771189145527,11.526802031075233,12.151220836462821,student_t,21.291474807041197,31.10200204579043,130.62898814949864,0,11.334733053389321,,,,
am_direct_n50,am,50,route_size,short,1667,0,1.0,"{""ok"": 1667}",1667,23328.716256748652,21994.61307738452,1334.103179364127,6.233535345137696,5.770227698688041,2.463285184376363,0.06033188503992198,6.1152010534339105,6.3518696368414815,student_t,9.703809004742435,11.23485708835666,14.417460846040152,18.031055244533643,0,17.0125974805039,0.0010556578047109303,0.0006660209308324206,947.2766606162014,1667,0,1.0,24046.74205158968,2052.128974205159,9.516838258904004,8.079101659544868,9.325542563587991,0.22840536915896403,9.068846495297032,9.964830022510975,student_t,18.12251005216256,25.943088566567067,230.12506627576957,0,17.427114577084584,,,,
am_direct_n50,am,50,route_size,ultra_long,1666,0,1.0,"{""ok"": 1666}",1666,9377.339735894358,8119.627851140456,1257.7118847539016,16.046250092850475,14.907651675803834,6.042827616647889,0.14804805521645598,15.755870148807867,16.33663003689308,student_t,24.220256407282513,27.78835109598782,34.73127195793415,59.77553310886644,0,3.5960384153661464,0.0010946086552635558,0.0006403044304426978,913.5685116241144,1666,0,1.0,10773.708883553421,2654.081032412965,35.86607122905081,22.141360599601104,67.81363981510263,1.6614204688076868,32.60737808338096,39.12476437472066,student_t,100.45673530363706,259.68045972054426,1539.2080976481095,0,4.738895558223289,,,,
am_direct_n50,am,50,route_size,very_long,1666,0,1.0,"{""ok"": 1666}",1666,11209.019207683074,10151.353541416567,1057.6656662665066,10.70147952666624,10.078665063110595,3.673943777335383,0.0900108799580204,10.524933105659755,10.878025947672725,student_t,15.302098852376893,17.648005251927216,22.793026192784563,33.66360560657322,0,5.691476590636254,0.0010529528547206667,0.0006479715720480946,949.7101370842342,1666,0,1.0,12069.852340936375,1918.498799519808,20.07408616391246,14.941617758186412,28.414649825059012,0.6961531774739225,18.708658428813845,21.43951389901108,student_t,41.052751597279865,119.42450883127884,580.1997649823737,0,6.283313325330132,,,,
am_direct_n50,am,50,route_size,very_short,1667,0,1.0,"{""ok"": 1667}",1667,35466.16076784643,33477.66826634673,1988.4925014997,6.1590596936664594,5.875863518163431,2.2029594157514336,0.05395586960929904,6.053231248073332,6.264888139259587,student_t,8.811248347215308,10.394642236771755,12.935097427357567,20.239427544341574,0,28.121775644871025,0.0010665795914496362,0.0006857438400682748,937.5765372004307,1667,0,1.0,36633.01799640072,3155.3497300539893,9.845004881942078,8.22466866182129,7.893537954870721,0.19333207030678837,9.465805498593754,10.224204265290401,student_t,19.959649752613792,37.98918918320731,155.79194810604935,0,29.103179364127175,,,,
am_direct_n50,am,50,group,1111,27,0,1.0,"{""ok"": 27}",27,35485.148148148146,34343.25925925926,1141.888888888889,3.375198471552029,3.3019183209678498,0.8603032023585135,0.16556542848879496,3.0348738592717894,3.715523083832269,student_t,4.3671036352969885,4.686198546798215,5.586284680393886,5.858351302040139,0,27.88888888888889,0.0015885652974247932,0.0006881836387846204,629.4988324503183,27,0,1.0,35995.81481481482,1652.5555555555557,4.881172957134641,4.090635652697012,2.337869967115297,0.44992328494811945,3.9563423997928755,5.806003514476407,student_t,8.145674950751427,12.59848261257157,14.057517420573992,0,28.074074074074073,,,,
am_direct_n50,am,50,group,1112,27,0,1.0,"{""ok"": 27}",27,23713.037037037036,22854.925925925927,858.1111111111111,3.809354754986771,3.749741895519306,0.7737828689143429,0.14891458255400558,3.503256446703798,4.115453063269744,student_t,4.618994475234625,4.818039760299202,5.400067235622774,5.580425584104986,0,18.074074074074073,0.0015885652974247932,0.0006483209629853567,629.4988324503183,27,0,1.0,24055.444444444445,1200.5185185185185,5.362896882404373,4.926698327482965,1.707009772059944,0.32851418380271014,4.687626306586166,6.0381674582225795,student_t,8.740562607413283,9.300988651273313,9.376341448457717,0,18.074074074074073,,,,
am_direct_n50,am,50,group,1113,27,0,1.0,"{""ok"": 27}",27,17969.925925925927,16310.592592592593,1659.3333333333333,10.277021310523205,11.846747067027648,4.491983695628824,0.8644826652889038,8.50005174282541,12.053990878221,student_t,15.330742941269257,15.539023901810198,15.676490191600605,15.712294108535136,0,11.814814814814815,0.0015885652974247932,0.0006273961453526108,629.4988324503183,27,0,1.0,18415.814814814814,2105.222222222222,13.079216409240553,13.708820403825717,5.273910657384277,1.0149645792409494,10.992926837431003,15.165505981050103,student_t,19.37714296402596,22.011408618559866,22.907594106066934,0,11.851851851851851,,,,
am_direct_n50,am,50,group,1114,27,0,1.0,"{""ok"": 27}",27,14307.185185185184,13233.37037037037,1073.8148148148148,8.132006512939169,8.07267900107857,2.62617884746325,0.5054083548410029,7.093124761027424,9.170888264850914,student_t,12.257807729430063,12.798102907785436,13.14064728582225,13.204575029107595,0,8.222222222222221,0.0015885652974247932,0.0006040113943594473,629.4988324503183,27,0,1.0,14725.333333333334,1491.962962962963,11.25304010884988,11.073031415748675,3.9197216206706855,0.7543507776142054,9.702449878400738,12.803630339299023,student_t,17.87753655648335,20.190594552467925,20.916375590712963,0,8.222222222222221,,,,
am_direct_n50,am,50,group,1115,27,0,1.0,"{""ok"": 27}",27,11988.0,10964.814814814816,1023.1851851851852,9.2979430976893,9.320843091334895,2.6239861986818003,0.5049863793862668,8.25992872874715,10.33595746663145,student_t,12.482542486443009,13.114704160210165,15.559529346410832,16.36176243236279,0,5.814814814814815,0.0014221705172935294,0.0006241116810728003,703.1505630583991,27,0,1.0,12500.407407407407,1535.5925925925926,13.921890630213731,14.277014094310076,3.550275219677127,0.6832507845926156,12.517448528507769,15.326332731919694,student_t,20.15307052277463,22.53307310360821,23.13518273888155,0,6.037037037037037,,,,
am_direct_n50,am,50,group,1116,27,0,1.0,"{""ok"": 27}",27,10215.74074074074,8888.555555555555,1327.1851851851852,15.005911936366699,15.529298287918978,3.49439266270017,0.6724961814880653,13.62357623794306,16.38824763479034,student_t,19.032769837777888,19.912542026276302,20.27733165845757,20.37869822485207,0,3.5925925925925926,0.0009467568597756326,0.0006310830789583701,1056.2373957733828,27,0,1.0,10796.333333333334,1907.7777777777778,21.492900544922154,21.404233350542075,5.084136810582867,0.9784425853956344,19.481683006619583,23.504118083224725,student_t,28.93865083201877,33.59919645127715,34.97041420118343,0,3.7777777777777777,,,,
