schema_version,dataset,protocol,model,architecture,training_size,instance,group,depot_code,depot_type,customer_code,customer_type,demand_code,demand_type,route_size_code,route_size_type,status,failure_reason,cost,optimum,optimum_sources_agree,absolute_error,gap_percent,vehicles,no_aug_status,no_aug_failure_reason,no_aug_cost,no_aug_absolute_error,no_aug_gap_percent,no_aug_vehicles,no_aug_candidate_index,no_aug_policy_index,no_aug_candidates_generated,candidates_generated,candidate_index,augmentation_index,policy_index,inference_seconds_amortized,postprocess_seconds,physical_batch_size,checkpoint_epoch,checkpoint_sha256,checkpoint_path,routes_json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_01,1111,1,random,1,random,1,unitary,1,very_short,ok,,30862,29888,True,974,3.258832976445396,25,ok,,31465,1577,5.276365096359743,25,0,0,1,8,5,5,0,0.0015885652974247932,0.0009260959923267365,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_01.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_02,1111,1,random,1,random,1,unitary,1,very_short,ok,,39605,38374,True,1231,3.207901183092719,26,ok,,39739,1365,3.5570959503830717,25,0,0,1,8,7,7,0,0.0015885652974247932,0.0007315352559089661,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_02.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_03,1111,1,random,1,random,1,unitary,1,very_short,ok,,27467,26322,True,1145,4.349973406276119,25,ok,,27487,1165,4.425955474508016,25,0,0,1,8,4,4,0,0.0015885652974247932,0.0006858333945274353,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_03.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_04,1111,1,random,1,random,1,unitary,1,very_short,ok,,38939,37554,True,1385,3.688022580816957,34,ok,,38944,1390,3.7013367417585346,34,0,0,1,8,2,2,0,0.0015885652974247932,0.0006903372704982758,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_04.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_05,1111,1,random,1,random,1,unitary,1,very_short,ok,,33904,33149,True,755,2.2775951009080213,26,ok,,33904,755,2.2775951009080213,26,0,0,1,8,0,0,0,0.0015885652974247932,0.0007187351584434509,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_05.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_06,1111,1,random,1,random,1,unitary,1,very_short,ok,,27978,27039,True,939,3.4727615666259846,25,ok,,28072,1033,3.820407559451163,26,0,0,1,8,3,3,0,0.0015885652974247932,0.0007055811583995819,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_06.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_07,1111,1,random,1,random,1,unitary,1,very_short,ok,,44514,43143,True,1371,3.177804047006467,34,ok,,44552,1409,3.2658832255522334,34,0,0,1,8,6,6,0,0.0015885652974247932,0.0006656460464000702,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_07.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_08,1111,1,random,1,random,1,unitary,1,very_short,ok,,31370,30140,True,1230,4.080955540809556,26,ok,,32051,1911,6.340411413404114,25,0,0,1,8,6,6,0,0.0015885652974247932,0.0006390027701854706,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_08.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_09,1111,1,random,1,random,1,unitary,1,very_short,ok,,46365,44883,True,1482,3.3019183209678498,34,ok,,46719,1836,4.090635652697012,34,0,0,1,8,3,3,0,0.0015885652974247932,0.0006638318300247192,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_09.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_10,1111,1,random,1,random,1,unitary,1,very_short,ok,,34709,33868,True,841,2.4831699539388215,34,ok,,38629,4761,14.057517420573992,35,0,0,1,8,2,2,0,0.0015885652974247932,0.0006700009107589722,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_10.json
