size,instance,vehicles,distance,source,precision,comparable
100,C101,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C102,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C103,10,828.06,SINTEF TOP 100-customers current table,double,true
100,C104,10,824.78,SINTEF TOP 100-customers current table,double,true
100,C105,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C106,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C107,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C108,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C109,10,828.94,SINTEF TOP 100-customers current table,double,true
100,C201,3,591.56,SINTEF TOP 100-customers current table,double,true
100,C202,3,591.56,SINTEF TOP 100-customers current table,double,true
100,C203,3,591.17,SINTEF TOP 100-customers current table,double,true
100,C204,3,590.60,SINTEF TOP 100-customers current table,double,true
100,C205,3,588.88,SINTEF TOP 100-customers current table,double,true
100,C206,3,588.49,SINTEF TOP 100-customers current table,double,true
100,C207,3,588.29,SINTEF TOP 100-customers current table,double,true
100,C208,3,588.32,SINTEF TOP 100-customers current table,double,true
100,R101,19,1650.80,SINTEF TOP 100-customers current table,double,true
100,R102,17,1486.12,SINTEF TOP 100-customers current table,double,true
100,R103,13,1292.68,SINTEF TOP 100-customers current table,double,true
100,R104,9,1007.31,SINTEF TOP 100-customers current table,double,true
100,R105,14,1377.11,SINTEF TOP 100-customers current table,double,true
100,R106,12,1252.03,SINTEF TOP 100-customers current table,double,true
100,R107,10,1104.66,SINTEF TOP 100-customers current table,double,true
100,R108,9,960.88,SINTEF TOP 100-customers current table,double,true
100,R109,11,1194.73,SINTEF TOP 100-customers current table,double,true
100,R110,10,1118.84,SINTEF TOP 100-customers current table,double,true
100,R111,10,1096.73,SINTEF TOP 100-customers current table,double,true
100,R112,9,982.14,SINTEF TOP 100-customers current table,double,true
100,R201,4,1252.37,SINTEF TOP 100-customers current table,double,true
100,R202,3,1191.70,SINTEF TOP 100-customers current table,double,true
100,R203,3,939.50,SINTEF TOP 100-customers current table,double,true
100,R204,2,825.52,SINTEF TOP 100-customers current table,double,true
100,R205,3,994.43,SINTEF TOP 100-customers current table,double,true
100,R206,3,906.14,SINTEF TOP 100-customers current table,double,true
100,R207,2,890.61,SINTEF TOP 100-customers current table,double,true
100,R208,2,726.82,SINTEF TOP 100-customers current table,double,true
100,R209,3,909.16,SINTEF TOP 100-customers current table,double,true
100,R210,3,939.37,SINTEF TOP 100-customers current table,double,true
100,R211,2,885.71,SINTEF TOP 100-customers current table,double,true
100,RC101,14,1696.95,SINTEF TOP 100-customers current table,double,true
100,RC102,12,1554.75,SINTEF TOP 100-customers current table,double,true
100,RC103,11,1261.67,SINTEF TOP 100-customers current table,double,true
100,RC104,10,1135.48,SINTEF TOP 100-customers current table,double,true
100,RC105,13,1629.44,SINTEF TOP 100-customers current table,double,true
100,RC106,11,1424.73,SINTEF TOP 100-customers current table,double,true
100,RC107,11,1230.48,SINTEF TOP 100-customers current table,double,true
100,RC108,10,1139.82,SINTEF TOP 100-customers current table,double,true
100,RC201,4,1406.94,SINTEF TOP 100-customers current table,double,true
100,RC202,3,1365.65,SINTEF TOP 100-customers current table,double,true
100,RC203,3,1049.62,SINTEF TOP 100-customers current table,double,true
100,RC204,3,798.46,SINTEF TOP 100-customers current table,double,true
100,RC205,4,1297.65,SINTEF TOP 100-customers current table,double,true
100,RC206,3,1146.32,SINTEF TOP 100-customers current table,double,true
100,RC207,3,1061.14,SINTEF TOP 100-customers current table,double,true
100,RC208,3,828.14,SINTEF TOP 100-customers current table,double,true
