size,instance,vehicles,distance,source,precision,comparable_to_double
50,R101,12,1044.0,Desaulniers et al. Table 3,legacy,false
50,R102,11,909.0,Desaulniers et al. Table 3,legacy,false
50,R103,9,772.9,Desaulniers et al. Table 3,legacy,false
50,R104,6,625.4,Desaulniers et al. Table 3,legacy,false
50,R105,9,899.3,Desaulniers et al. Table 3,legacy,false
50,R106,8,793.0,Desaulniers et al. Table 3,legacy,false
50,R107,7,711.1,Desaulniers et al. Table 3,legacy,false
50,R108,6,617.7,Desaulniers et al. Table 3,legacy,false
50,R109,8,786.8,Desaulniers et al. Table 3,legacy,false
50,R110,7,697.0,Desaulniers et al. Table 3,legacy,false
50,R111,7,707.2,Desaulniers et al. Table 3,legacy,false
50,R112,6,630.2,Desaulniers et al. Table 3,legacy,false
50,R201,6,791.9,Desaulniers et al. Table 3,legacy,false
50,R202,5,698.5,Desaulniers et al. Table 3,legacy,false
50,R203,5,605.3,Desaulniers et al. Table 3,legacy,false
50,R204,2,506.4,Desaulniers et al. Table 3,legacy,false
50,R205,4,690.1,Desaulniers et al. Table 3,legacy,false
50,R206,4,632.4,Desaulniers et al. Table 3,legacy,false
50,R207,3,575.5,Desaulniers et al. Table 3,legacy,false
50,R208,2,487.7,Desaulniers et al. Table 3,legacy,false
50,R209,4,600.6,Desaulniers et al. Table 3,legacy,false
50,R210,4,645.6,Desaulniers et al. Table 3,legacy,false
50,R211,3,535.5,Desaulniers et al. Table 3,legacy,false
50,C101,5,362.4,Desaulniers et al. Table 3,legacy,false
50,C102,5,361.4,Desaulniers et al. Table 3,legacy,false
50,C103,5,361.4,Desaulniers et al. Table 3,legacy,false
50,C104,5,358.0,Desaulniers et al. Table 3,legacy,false
50,C105,5,362.4,Desaulniers et al. Table 3,legacy,false
50,C106,5,362.4,Desaulniers et al. Table 3,legacy,false
50,C107,5,362.4,Desaulniers et al. Table 3,legacy,false
50,C108,5,362.4,Desaulniers et al. Table 3,legacy,false
50,C109,5,362.4,Desaulniers et al. Table 3,legacy,false
50,C201,3,360.2,Desaulniers et al. Table 3,legacy,false
50,C202,3,360.2,Desaulniers et al. Table 3,legacy,false
50,C203,3,359.8,Desaulniers et al. Table 3,legacy,false
50,C204,2,350.1,Desaulniers et al. Table 3,legacy,false
50,C205,3,359.8,Desaulniers et al. Table 3,legacy,false
50,C206,3,359.8,Desaulniers et al. Table 3,legacy,false
50,C207,3,359.6,Desaulniers et al. Table 3,legacy,false
50,C208,2,350.5,Desaulniers et al. Table 3,legacy,false
50,RC101,8,944.0,Desaulniers et al. Table 3,legacy,false
50,RC102,7,822.5,Desaulniers et al. Table 3,legacy,false
50,RC103,6,710.9,Desaulniers et al. Table 3,legacy,false
50,RC104,5,545.8,Desaulniers et al. Table 3,legacy,false
50,RC105,8,855.3,Desaulniers et al. Table 3,legacy,false
50,RC106,6,723.2,Desaulniers et al. Table 3,legacy,false
50,RC107,6,642.7,Desaulniers et al. Table 3,legacy,false
50,RC108,6,598.1,Desaulniers et al. Table 3,legacy,false
50,RC201,5,684.8,Desaulniers et al. Table 3,legacy,false
50,RC202,5,613.6,Desaulniers et al. Table 3,legacy,false
50,RC203,4,555.3,Desaulniers et al. Table 3,legacy,false
50,RC204,3,444.2,Desaulniers et al. Table 3,legacy,false
50,RC205,5,630.2,Desaulniers et al. Table 3,legacy,false
50,RC206,5,610.0,Desaulniers et al. Table 3,legacy,false
50,RC207,4,558.6,Desaulniers et al. Table 3,legacy,false
50,RC208,3,476.7,Desaulniers et al. Table 3,legacy,false
