model,trained_size,evaluation_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
MVMoE_4E_L,100,50,CVRP,trained_variant,1000,1000,1000,0,10.6295698013,10.6295698013,10.9581383246,3.091080,7.150000
MVMoE_4E_L,100,50,OVRP,trained_variant,1000,1000,1000,0,7.0371785083,7.0371785083,6.8457594634,-2.720111,8.501000
MVMoE_4E_L,100,50,OVRPB,unseen_variant,1000,1000,1000,0,6.4394927425,6.4394927425,6.6297225538,2.954112,5.915000
MVMoE_4E_L,100,50,OVRPBL,unseen_variant,1000,1000,1000,0,6.4196784067,6.4196784067,6.5964667153,2.753850,5.992000
MVMoE_4E_L,100,50,OVRPBLTW,unseen_variant,1000,1000,165,835,9.8555633602,9.6444896351,11.2325000070,16.465468,14.848485
MVMoE_4E_L,100,50,OVRPBTW,unseen_variant,1000,1000,166,834,9.8581660504,9.6826080041,11.3431079589,17.149305,14.933735
MVMoE_4E_L,100,50,OVRPL,unseen_variant,1000,1000,1000,0,7.0257902641,7.0257902641,6.8405960798,-2.635920,8.570000
MVMoE_4E_L,100,50,OVRPLTW,unseen_variant,1000,1000,1000,0,9.2918589973,9.2918589973,9.8299588994,5.791090,13.712000
MVMoE_4E_L,100,50,OVRPTW,trained_variant,1000,1000,1000,0,9.2915192561,9.2915192561,9.8374676402,5.875771,13.736000
MVMoE_4E_L,100,50,VRPB,trained_variant,1000,1000,1000,0,8.4454464259,8.4454464259,8.6510821895,2.434871,4.551000
MVMoE_4E_L,100,50,VRPBL,unseen_variant,1000,1000,1000,0,8.4469857550,8.4469857550,8.6878201987,2.851129,4.650000
MVMoE_4E_L,100,50,VRPBLTW,unseen_variant,1000,1000,167,833,16.5196668253,15.9183332478,19.6746576398,23.597473,14.419162
MVMoE_4E_L,100,50,VRPBTW,unseen_variant,1000,1000,168,832,16.5859002314,16.0843067226,20.0310175326,24.537650,14.547619
MVMoE_4E_L,100,50,VRPL,trained_variant,1000,1000,1000,0,10.7026227517,10.7026227517,11.0384477741,3.137782,7.195000
MVMoE_4E_L,100,50,VRPLTW,unseen_variant,1000,1000,1000,0,15.4340571432,15.4340571432,17.4183478353,12.856572,12.806000
MVMoE_4E_L,100,50,VRPTW,trained_variant,1000,1000,1000,0,15.4962279243,15.4962279243,17.4915535782,12.876202,12.812000
MVMoE_4E_L,100,100,CVRP,trained_variant,1000,1000,1000,0,15.7695634775,15.7695634775,16.4911243540,4.575655,11.125000
MVMoE_4E_L,100,100,OVRP,trained_variant,1000,1000,1000,0,10.1462509670,10.1462509670,10.3129974803,1.643430,12.699000
MVMoE_4E_L,100,100,OVRPB,unseen_variant,1000,1000,1000,0,8.9743534899,8.9743534899,9.4867122059,5.709143,8.588000
MVMoE_4E_L,100,100,OVRPBL,unseen_variant,1000,1000,1000,0,8.9561037617,8.9561037617,9.4933733093,5.998921,8.613000
