model,trained_size,evaluation_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
MVMoE_4E,100,100,CVRP,trained_variant,1000,1000,1000,0,15.7599853649,15.7599853649,16.4700405751,4.505431,11.152000
MVMoE_4E,100,100,OVRP,trained_variant,1000,1000,1000,0,10.1377016983,10.1377016983,10.3203074142,1.801254,12.737000
MVMoE_4E,100,100,OVRPB,unseen_variant,1000,1000,1000,0,8.9588227077,8.9588227077,9.4805770568,5.823916,8.527000
MVMoE_4E,100,100,OVRPBL,unseen_variant,1000,1000,1000,0,8.9424112043,8.9424112043,9.4705323989,5.905803,8.555000
MVMoE_4E,100,100,OVRPBLTW,unseen_variant,1000,1000,26,974,15.6706626253,15.2274332046,17.7312484266,16.442792,22.653846
MVMoE_4E,100,100,OVRPBTW,unseen_variant,1000,1000,22,978,15.8084045925,16.0238607147,18.5836533883,15.974881,22.409091
MVMoE_4E,100,100,OVRPL,unseen_variant,1000,1000,1000,0,10.0972576609,10.0972576609,10.2712338830,1.723005,12.776000
MVMoE_4E,100,100,OVRPLTW,unseen_variant,1000,1000,1000,0,14.8283773556,14.8283773556,15.5489420540,4.859363,20.528000
MVMoE_4E,100,100,OVRPTW,trained_variant,1000,1000,1000,0,14.9265013552,14.9265013552,15.6527212479,4.865306,20.664000
MVMoE_4E,100,100,VRPB,trained_variant,1000,1000,1000,0,12.0269532976,12.0269532976,12.5960703279,4.732013,6.970000
MVMoE_4E,100,100,VRPBL,unseen_variant,1000,1000,1000,0,11.9451615715,11.9451615715,12.5096805645,4.725922,7.015000
MVMoE_4E,100,100,VRPBLTW,unseen_variant,1000,1000,16,984,27.1417358379,22.5606265068,26.2882507336,16.522698,21.125000
MVMoE_4E,100,100,VRPBTW,unseen_variant,1000,1000,25,975,27.2356226711,26.2338598633,31.5900425293,20.417059,23.040000
MVMoE_4E,100,100,VRPL,trained_variant,1000,1000,1000,0,15.8118330631,15.8118330631,16.5258278207,4.515572,11.172000
MVMoE_4E,100,100,VRPLTW,unseen_variant,1000,1000,1000,0,25.5140209827,25.5140209827,27.4416647374,7.555233,19.927000
MVMoE_4E,100,100,VRPTW,trained_variant,1000,1000,1000,0,25.5121751308,25.5121751308,27.4690786310,7.670469,19.984000
