model,trained_size,evaluation_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
MVMoE_4E,50,50,CVRP,trained_variant,1000,1000,1000,0,10.4278828549,10.4278828549,10.6738015272,2.358280,7.060000
MVMoE_4E,50,50,OVRP,trained_variant,1000,1000,1000,0,6.6554331684,6.6554331684,6.6955943770,0.603435,8.072000
MVMoE_4E,50,50,OVRPB,unseen_variant,1000,1000,1000,0,6.0917059693,6.0917059693,6.3004565379,3.426800,5.555000
MVMoE_4E,50,50,OVRPBL,unseen_variant,1000,1000,1000,0,6.0763659124,6.0763659124,6.2706289979,3.197027,5.553000
MVMoE_4E,50,50,OVRPBLTW,unseen_variant,1000,1000,239,761,9.5031273785,9.1678613958,10.1418131309,10.623543,13.288703
MVMoE_4E,50,50,OVRPBTW,unseen_variant,1000,1000,245,755,9.4862368422,9.2171175782,10.3030676320,11.781883,13.334694
MVMoE_4E,50,50,OVRPL,unseen_variant,1000,1000,1000,0,6.6501562433,6.6501562433,6.6904060724,0.605246,8.069000
MVMoE_4E,50,50,OVRPLTW,unseen_variant,1000,1000,1000,0,8.9658082371,8.9658082371,9.1873249566,2.470683,12.141000
MVMoE_4E,50,50,OVRPTW,trained_variant,1000,1000,1000,0,8.9635782280,8.9635782280,9.1984492483,2.620282,12.238000
MVMoE_4E,50,50,VRPB,trained_variant,1000,1000,1000,0,8.1704426303,8.1704426303,8.3462161673,2.151334,4.466000
MVMoE_4E,50,50,VRPBL,unseen_variant,1000,1000,1000,0,8.1718502297,8.1718502297,8.3646954671,2.359872,4.538000
MVMoE_4E,50,50,VRPBLTW,unseen_variant,1000,1000,245,755,15.9452665558,15.1850096917,17.2070906122,13.316297,12.640816
MVMoE_4E,50,50,VRPBTW,unseen_variant,1000,1000,223,777,16.0216300230,15.5126113721,17.6286968067,13.641065,12.659193
MVMoE_4E,50,50,VRPL,trained_variant,1000,1000,1000,0,10.5012905488,10.5012905488,10.7404153309,2.277099,7.108000
MVMoE_4E,50,50,VRPLTW,unseen_variant,1000,1000,1000,0,14.9372656212,14.9372656212,15.5338366538,3.993844,11.077000
MVMoE_4E,50,50,VRPTW,trained_variant,1000,1000,1000,0,14.9990796471,14.9990796471,15.6208115729,4.145134,11.137000
