problem,instance,status,cost,vehicles
CVRP,0,ok,10.6580843431,8
CVRP,1,ok,13.0905994217,7
OVRP,0,ok,7.5693434121,9
OVRP,1,ok,8.5627178556,6
VRPB,0,ok,7.4440525557,4
VRPB,1,ok,7.2165218020,4
VRPL,0,ok,10.3374937776,7
VRPL,1,ok,9.6547369037,7
VRPTW,0,ok,17.7942103587,14
VRPTW,1,ok,18.2492764570,15
OVRPTW,0,ok,9.5991989297,17
OVRPTW,1,ok,10.3808311459,17
OVRPB,0,ok,6.6491763338,6
OVRPB,1,ok,6.3873309944,6
OVRPL,0,ok,7.9978111010,9
OVRPL,1,ok,8.3092894334,9
VRPBL,0,ok,7.4428052161,4
VRPBL,1,ok,7.2519455450,5
VRPBTW,0,no_feasible_candidate,,
VRPBTW,1,no_feasible_candidate,,
VRPLTW,0,ok,15.6643593480,14
VRPLTW,1,ok,16.6338516805,14
OVRPBL,0,ok,6.9252853970,5
OVRPBL,1,ok,6.3419716696,4
OVRPBTW,0,no_feasible_candidate,,
OVRPBTW,1,ok,11.5255249436,15
OVRPLTW,0,ok,11.0940463796,16
OVRPLTW,1,ok,10.7897471758,18
VRPBLTW,0,no_feasible_candidate,,
VRPBLTW,1,ok,21.4007448447,17
OVRPBLTW,0,no_feasible_candidate,,
OVRPBLTW,1,no_feasible_candidate,,
