problem,instance,status,cost,vehicles
CVRP,0,ok,10.7177964627,8
CVRP,1,ok,13.0398662173,7
CVRP,2,ok,13.7399221863,7
CVRP,3,ok,10.0177686164,7
CVRP,4,ok,10.3922834552,7
CVRP,5,ok,9.4627581517,7
CVRP,6,ok,9.3995606290,6
CVRP,7,ok,7.7560226114,6
CVRP,8,ok,12.1267710148,6
CVRP,9,ok,11.8036960195,8
CVRP,10,ok,11.3936735690,7
CVRP,11,ok,11.4832820723,7
CVRP,12,ok,12.2887683630,6
CVRP,13,ok,10.8909279145,8
CVRP,14,ok,9.5664926565,8
CVRP,15,ok,10.8241251951,8
CVRP,16,ok,9.0976564394,6
CVRP,17,ok,11.7753107340,7
CVRP,18,ok,10.3156815357,7
CVRP,19,ok,10.5491681102,7
CVRP,20,ok,10.1452318470,7
CVRP,21,ok,10.1250382641,7
CVRP,22,ok,13.2361564072,7
CVRP,23,ok,9.6980563834,6
CVRP,24,ok,11.1969814148,6
CVRP,25,ok,11.4567168520,7
CVRP,26,ok,8.9480377465,6
CVRP,27,ok,11.6025330085,7
CVRP,28,ok,10.0176709994,8
CVRP,29,ok,9.4181523257,7
CVRP,30,ok,9.2453548574,6
CVRP,31,ok,12.6730326359,8
CVRP,32,ok,10.9649030778,7
CVRP,33,ok,11.0405062976,7
CVRP,34,ok,10.5886230469,6
CVRP,35,ok,10.2012041181,6
CVRP,36,ok,9.3610028030,8
CVRP,37,ok,10.1661150297,8
CVRP,38,ok,11.9385075426,7
CVRP,39,ok,11.6595079217,8
CVRP,40,ok,11.5227127308,7
CVRP,41,ok,11.1908941430,6
CVRP,42,ok,10.8230224904,7
CVRP,43,ok,11.8979679309,7
CVRP,44,ok,10.9353708430,7
CVRP,45,ok,11.5514379406,7
CVRP,46,ok,10.7530560807,7
CVRP,47,ok,10.2614334535,7
CVRP,48,ok,11.9103244388,8
CVRP,49,ok,10.5169561099,7
