model_key,model,n,split,complete_environments,environments,successful_instances,total_instances,success_rate,macro_mean_cost_successes,macro_mean_vehicles_successes
pomo_mtl_split_n50,POMO-MTL-Split,50,IID,6,6,6000,6000,1.0,11.130004220023016,9.615666666666668
pomo_mtl_split_n50,POMO-MTL-Split,50,OOD,6,10,6723,10000,0.6723,12.501793990862263,12.244428534533615
pomo_mtl_split_n50,POMO-MTL-Split,50,ALL,12,16,12723,16000,0.7951875,11.987372826797545,11.25864283408351
pomo_mtl_split_n100,POMO-MTL-Split,100,IID,6,6,6000,6000,1.0,18.3918797600601,16.418499999999998
pomo_mtl_split_n100,POMO-MTL-Split,100,OOD,6,10,6035,10000,0.6035,22.217544896838774,21.64262121212121
pomo_mtl_split_n100,POMO-MTL-Split,100,ALL,12,16,12035,16000,0.7521875,20.78292047054677,19.683575757575756
mvmoe_4e_split_n50,MVMoE/4E-Split,50,IID,6,6,6000,6000,1.0,11.120705556620566,9.6105
mvmoe_4e_split_n50,MVMoE/4E-Split,50,OOD,6,10,6711,10000,0.6711,12.43127604234554,12.232869805478899
mvmoe_4e_split_n50,MVMoE/4E-Split,50,ALL,12,16,12711,16000,0.7944375,11.939812110198675,11.249481128424312
mvmoe_4e_split_n100,MVMoE/4E-Split,100,IID,6,6,6000,6000,1.0,18.376670389027417,16.411666666666665
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OOD,6,10,6029,10000,0.6029,22.061970272529447,21.594114285714287
mvmoe_4e_split_n100,MVMoE/4E-Split,100,ALL,12,16,12029,16000,0.7518125,20.679982816216185,19.65069642857143
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,IID,6,6,6000,6000,1.0,11.1270673418948,9.620666666666667
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OOD,6,10,6690,10000,0.669,12.481413064581124,12.26174331756595
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,ALL,12,16,12690,16000,0.793125,11.973533418573753,11.271339573478718
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,IID,6,6,6000,6000,1.0,18.382874771619917,16.433
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OOD,6,10,6039,10000,0.6039,23.204101723530208,21.98008888888889
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,ALL,12,16,12039,16000,0.7524375,21.39614161656385,19.899930555555557
