model_key,model,n,environment,split,success,total,success_rate,mean_cost_successes,mean_vehicles_successes,published_direct_cost,split_vs_published_percent,full_set_comparable,failure_counts
pomo_mtl_split_n50,POMO-MTL-Split,50,CVRP,IID,1000,1000,1.0,10.880394876174199,7.122,10.437,4.248298133316086,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRP,IID,1000,1000,1.0,7.260999312999901,8.518,6.671,8.844240938388559,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPB,IID,1000,1000,1.0,8.4041484441001,4.433,8.182,2.715087314838671,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPL,IID,1000,1000,1.0,10.9620353408037,7.188,10.513,4.271238854786463,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPTW,IID,1000,1000,1.0,18.705658355042,14.833,15.032,24.438919339023425,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPTW,IID,1000,1000,1.0,10.5667889910182,15.6,8.987,17.578602325783898,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPB,OOD,1000,1000,1.0,6.5290069145048,5.598,6.116,6.752892650503606,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPL,OOD,1000,1000,1.0,7.2343555853057,8.513,6.668,8.493635052574987,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPBL,OOD,1000,1000,1.0,8.4267806665721,4.482,8.188,2.9162269977051736,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPBTW,OOD,163,1000,0.163,21.785640775079752,16.858895705521473,16.055,35.693807381374974,False,no_feasible_candidate:837
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPLTW,OOD,1000,1000,1.0,18.613390283329,14.84,14.961,24.412741683904816,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPBL,OOD,1000,1000,1.0,6.5102211109511,5.654,6.104,6.6549985411386015,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPBTW,OOD,194,1000,0.194,12.158485879371133,17.195876288659793,9.514,27.79573133667368,False,no_feasible_candidate:806
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPLTW,OOD,1000,1000,1.0,10.5644618857488,15.589,8.987,17.55270819793924,True,
pomo_mtl_split_n50,POMO-MTL-Split,50,VRPBLTW,OOD,169,1000,0.169,21.085924017498815,16.62721893491124,15.98,31.951965065699707,False,no_feasible_candidate:831
pomo_mtl_split_n50,POMO-MTL-Split,50,OVRPBLTW,OOD,197,1000,0.197,12.10967279026142,17.086294416243653,9.532,27.042307912939776,False,no_feasible_candidate:803
pomo_mtl_split_n100,POMO-MTL-Split,100,CVRP,IID,1000,1000,1.0,16.691052316239798,11.098,15.79,5.706474453703603,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,OVRP,IID,1000,1000,1.0,11.289825662270799,12.748,10.169,11.021985074941476,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,VRPB,IID,1000,1000,1.0,12.6400581887072,6.838,12.072,4.705584730841639,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,VRPL,IID,1000,1000,1.0,16.7514870371262,11.159,15.846,5.714294062389236,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,VRPTW,IID,1000,1000,1.0,34.1056201286213,28.11,25.61,33.1730579016841,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,OVRPTW,IID,1000,1000,1.0,18.873235227395302,28.558,15.008,25.754499116439924,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,OVRPB,OOD,1000,1000,1.0,9.7536568314891,7.996,8.979,8.627428794844638,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,OVRPL,OOD,1000,1000,1.0,11.251037091980699,12.79,10.126,11.110380130166897,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,VRPBL,OOD,1000,1000,1.0,12.5874145549083,6.87,11.998,4.9126067253567385,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,VRPBTW,OOD,6,1000,0.006,41.53841016195,32.666666666666664,27.319,52.04952656374684,False,no_feasible_candidate:994
pomo_mtl_split_n100,POMO-MTL-Split,100,VRPLTW,OOD,1000,1000,1.0,34.1227212442999,28.145,25.619,33.193025661813124,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,OVRPBL,OOD,1000,1000,1.0,9.7417009065871,7.929,8.961,8.71220741643901,True,
pomo_mtl_split_n100,POMO-MTL-Split,100,OVRPBTW,OOD,11,1000,0.011,21.300782724145453,30.454545454545453,15.879,34.1443587388718,False,no_feasible_candidate:989
