method,n,environment,published_direct_cost
POMO-MTL,50,CVRP,10.437
POMO-MTL,100,CVRP,15.79
POMO-MTL,50,OVRP,6.671
POMO-MTL,100,OVRP,10.169
POMO-MTL,50,VRPB,8.182
POMO-MTL,100,VRPB,12.072
POMO-MTL,50,VRPL,10.513
POMO-MTL,100,VRPL,15.846
POMO-MTL,50,VRPTW,15.032
POMO-MTL,100,VRPTW,25.61
POMO-MTL,50,OVRPTW,8.987
POMO-MTL,100,OVRPTW,15.008
POMO-MTL,50,OVRPB,6.116
POMO-MTL,100,OVRPB,8.979
POMO-MTL,50,OVRPL,6.668
POMO-MTL,100,OVRPL,10.126
POMO-MTL,50,VRPBL,8.188
POMO-MTL,100,VRPBL,11.998
POMO-MTL,50,VRPBTW,16.055
POMO-MTL,100,VRPBTW,27.319
POMO-MTL,50,VRPLTW,14.961
POMO-MTL,100,VRPLTW,25.619
POMO-MTL,50,OVRPBL,6.104
POMO-MTL,100,OVRPBL,8.961
POMO-MTL,50,OVRPBTW,9.514
POMO-MTL,100,OVRPBTW,15.879
POMO-MTL,50,OVRPLTW,8.987
POMO-MTL,100,OVRPLTW,14.896
POMO-MTL,50,VRPBLTW,15.98
POMO-MTL,100,VRPBLTW,27.247
POMO-MTL,50,OVRPBLTW,9.532
POMO-MTL,100,OVRPBLTW,15.738
MVMoE/4E,50,CVRP,10.428
MVMoE/4E,100,CVRP,15.76
MVMoE/4E,50,OVRP,6.655
MVMoE/4E,100,OVRP,10.138
MVMoE/4E,50,VRPB,8.17
MVMoE/4E,100,VRPB,12.027
MVMoE/4E,50,VRPL,10.501
MVMoE/4E,100,VRPL,15.812
MVMoE/4E,50,VRPTW,14.999
MVMoE/4E,100,VRPTW,25.512
MVMoE/4E,50,OVRPTW,8.964
MVMoE/4E,100,OVRPTW,14.927
MVMoE/4E,50,OVRPB,6.092
MVMoE/4E,100,OVRPB,8.959
MVMoE/4E,50,OVRPL,6.65
MVMoE/4E,100,OVRPL,10.097
MVMoE/4E,50,VRPBL,8.172
MVMoE/4E,100,VRPBL,11.945
MVMoE/4E,50,VRPBTW,16.022
MVMoE/4E,100,VRPBTW,27.236
MVMoE/4E,50,VRPLTW,14.937
MVMoE/4E,100,VRPLTW,25.514
MVMoE/4E,50,OVRPBL,6.076
MVMoE/4E,100,OVRPBL,8.942
MVMoE/4E,50,OVRPBTW,9.486
MVMoE/4E,100,OVRPBTW,15.808
MVMoE/4E,50,OVRPLTW,8.966
MVMoE/4E,100,OVRPLTW,14.828
MVMoE/4E,50,VRPBLTW,15.945
MVMoE/4E,100,VRPBLTW,27.142
MVMoE/4E,50,OVRPBLTW,9.503
MVMoE/4E,100,OVRPBLTW,15.671
MVMoE/4E-L,50,CVRP,10.434
MVMoE/4E-L,100,CVRP,15.771
MVMoE/4E-L,50,OVRP,6.665
MVMoE/4E-L,100,OVRP,10.145
MVMoE/4E-L,50,VRPB,8.176
MVMoE/4E-L,100,VRPB,12.036
MVMoE/4E-L,50,VRPL,10.506
MVMoE/4E-L,100,VRPL,15.821
MVMoE/4E-L,50,VRPTW,15.013
MVMoE/4E-L,100,VRPTW,25.519
MVMoE/4E-L,50,OVRPTW,8.974
MVMoE/4E-L,100,OVRPTW,14.94
MVMoE/4E-L,50,OVRPB,6.122
MVMoE/4E-L,100,OVRPB,8.972
MVMoE/4E-L,50,OVRPL,6.659
MVMoE/4E-L,100,OVRPL,10.106
MVMoE/4E-L,50,VRPBL,8.18
MVMoE/4E-L,100,VRPBL,11.96
MVMoE/4E-L,50,VRPBTW,16.041
MVMoE/4E-L,100,VRPBTW,27.265
MVMoE/4E-L,50,VRPLTW,14.953
MVMoE/4E-L,100,VRPLTW,25.529
MVMoE/4E-L,50,OVRPBL,6.104
MVMoE/4E-L,100,OVRPBL,8.957
MVMoE/4E-L,50,OVRPBTW,9.515
MVMoE/4E-L,100,OVRPBTW,15.841
MVMoE/4E-L,50,OVRPLTW,8.974
MVMoE/4E-L,100,OVRPLTW,14.839
MVMoE/4E-L,50,VRPBLTW,15.963
MVMoE/4E-L,100,VRPBLTW,27.177
MVMoE/4E-L,50,OVRPBLTW,9.518
MVMoE/4E-L,100,OVRPBLTW,15.706
