problem_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
50,CVRP,trained_variant,1000,1000,1000,0,10.4367258596,10.4367258596,10.7131230742,2.648313,7.102000
50,OVRP,trained_variant,1000,1000,1000,0,6.6704645104,6.6704645104,6.6960445436,0.383482,8.085000
50,OVRPB,unseen_variant,1000,1000,1000,0,6.1163109884,6.1163109884,6.3137741872,3.228469,5.595000
50,OVRPBL,unseen_variant,1000,1000,1000,0,6.1035756373,6.1035756373,6.2786453692,2.868314,5.529000
50,OVRPBLTW,unseen_variant,1000,1000,234,766,9.5322355752,9.2709339623,10.2678533682,10.753171,13.410256
50,OVRPBTW,unseen_variant,1000,1000,244,756,9.5141860733,9.2674035322,10.3523393828,11.707010,13.426230
50,OVRPL,unseen_variant,1000,1000,1000,0,6.6681485639,6.6681485639,6.6896335145,0.322203,8.129000
50,OVRPLTW,unseen_variant,1000,1000,1000,0,8.9865563345,8.9865563345,9.2342177110,2.755910,12.213000
50,OVRPTW,trained_variant,1000,1000,1000,0,8.9871553378,8.9871553378,9.2446960553,2.865653,12.321000
50,VRPB,trained_variant,1000,1000,1000,0,8.1819887567,8.1819887567,8.3818263411,2.442408,4.478000
50,VRPBL,unseen_variant,1000,1000,1000,0,8.1877940545,8.1877940545,8.3988897893,2.578176,4.544000
50,VRPBLTW,unseen_variant,1000,1000,226,774,15.9799985399,15.2335401636,17.0537785847,11.948886,12.504425
50,VRPBTW,unseen_variant,1000,1000,222,778,16.0553054609,15.4652300955,17.5426204761,13.432651,12.720721
50,VRPL,trained_variant,1000,1000,1000,0,10.5128393660,10.5128393660,10.7817177716,2.557619,7.120000
50,VRPLTW,unseen_variant,1000,1000,1000,0,14.9611070652,14.9611070652,15.6009152222,4.276476,11.165000
50,VRPTW,trained_variant,1000,1000,1000,0,15.0315992765,15.0315992765,15.6927426572,4.398357,11.242000
100,CVRP,trained_variant,1000,1000,1000,0,16.2655834618,16.2655834618,17.0657709772,4.919513,11.290000
100,OVRP,trained_variant,1000,1000,1000,0,10.4277007170,10.4277007170,10.6842545075,2.460310,12.959000
100,OVRPB,unseen_variant,1000,1000,1000,0,9.1243662114,9.1243662114,9.7080971314,6.397496,8.601000
100,OVRPBL,unseen_variant,1000,1000,1000,0,9.1099861965,9.1099861965,9.7088451744,6.573654,8.701000
100,OVRPBLTW,unseen_variant,1000,1000,53,947,16.2528381481,16.2255169671,19.3663026740,19.357076,24.867925
100,OVRPBTW,unseen_variant,1000,1000,46,954,16.3913764696,15.9436895744,19.0522048401,19.496838,24.913043
100,OVRPL,unseen_variant,1000,1000,1000,0,10.3890478878,10.3890478878,10.6470239762,2.483154,12.958000
100,OVRPLTW,unseen_variant,1000,1000,1000,0,15.4437734823,15.4437734823,16.6428659007,7.764245,22.355000
100,OVRPTW,trained_variant,1000,1000,1000,0,15.5426161871,15.5426161871,16.7774962637,7.945124,22.482000
100,VRPB,trained_variant,1000,1000,1000,0,12.4870581808,12.4870581808,13.1232744713,5.095005,7.149000
100,VRPBL,unseen_variant,1000,1000,1000,0,12.4347592268,12.4347592268,13.1008658452,5.356812,7.209000
100,VRPBLTW,unseen_variant,1000,1000,40,960,28.3028814259,25.7216888428,32.7667718347,27.389660,25.900000
100,VRPBTW,unseen_variant,1000,1000,39,961,28.3723505878,26.5945410117,33.2561047837,25.048613,25.641026
100,VRPL,trained_variant,1000,1000,1000,0,16.3215813065,16.3215813065,17.1451820957,5.046085,11.352000
100,VRPLTW,unseen_variant,1000,1000,1000,0,26.6665472126,26.6665472126,30.5352967774,14.507876,22.811000
100,VRPTW,trained_variant,1000,1000,1000,0,26.6831699657,26.6831699657,30.5331531559,14.428508,22.808000
200,CVRP,trained_variant,1000,1000,1000,0,25.7293335571,25.7293335571,25.5280362885,-0.782365,16.035000
200,OVRP,trained_variant,1000,1000,1000,0,16.6469732704,16.6469732704,16.9154828809,1.612964,18.881000
200,OVRPB,unseen_variant,1000,1000,1000,0,14.7150441532,14.7150441532,15.1599797374,3.023678,12.191000
200,OVRPBL,unseen_variant,1000,1000,1000,0,14.6719999542,14.6719999542,15.1001347141,2.918040,12.200000
200,OVRPBLTW,unseen_variant,1000,1000,3,997,31.3413240471,30.9516773224,38.5762663474,24.633848,52.333333
200,OVRPBTW,unseen_variant,1000,1000,0,1000,31.6067463627,nan,nan,nan,nan
200,OVRPL,unseen_variant,1000,1000,1000,0,16.6554093266,16.6554093266,16.9250947038,1.619206,18.849000
200,OVRPLTW,unseen_variant,1000,1000,1000,0,30.0305405369,30.0305405369,33.5851787848,11.836744,46.125000
200,OVRPTW,trained_variant,1000,1000,1000,0,30.1209091778,30.1209091778,33.7192480452,11.946316,46.090000
200,VRPB,trained_variant,1000,1000,1000,0,21.5289352093,21.5289352093,19.8015667097,-8.023474,10.024000
200,VRPBL,unseen_variant,1000,1000,1000,0,20.5200209732,20.5200209732,20.1102714189,-1.996828,10.221000
200,VRPBLTW,unseen_variant,1000,1000,0,1000,55.5093660164,nan,nan,nan,nan
200,VRPBTW,unseen_variant,1000,1000,1,999,54.4926795044,40.4219055176,57.5507007969,42.375032,53.000000
200,VRPL,trained_variant,1000,1000,1000,0,25.7203747807,25.7203747807,25.5117864675,-0.810985,15.976000
200,VRPLTW,unseen_variant,1000,1000,1000,0,53.0948735352,53.0948735352,63.1149540195,18.872030,47.760000
200,VRPTW,trained_variant,1000,1000,1000,0,52.1363717461,52.1363717461,61.9431472025,18.809854,47.363000
