problem_size,problem,instance,status,no_aug_cost,cost
50,CVRP,0,ok,10.4483890533,10.2396039963
50,OVRP,0,ok,7.1688060760,6.9983205795
50,VRPB,0,ok,7.3950576782,7.3286194801
50,VRPL,0,ok,9.9655647278,9.9176387787
50,VRPTW,0,ok,14.2191772461,13.6101360321
50,OVRPTW,0,ok,8.5050029755,8.2891473770
50,OVRPB,0,ok,6.3646535873,6.1611065865
50,OVRPL,0,ok,7.6563215256,7.5820055008
50,VRPBL,0,ok,7.4025516510,7.2714004517
50,VRPBTW,0,ok,13.5522308350,13.4374771118
50,VRPLTW,0,ok,12.5659580231,12.4368019104
50,OVRPBL,0,ok,6.7255902290,6.7083358765
50,OVRPBTW,0,ok,8.2964057922,8.0354299545
50,OVRPLTW,0,ok,9.1440849304,8.9617252350
50,VRPBLTW,0,ok,12.5541591644,12.0227718353
50,OVRPBLTW,0,ok,8.9393434525,8.8966426849
