problem,instance,status,cost,vehicles
CVRP,0,ok,10.4611401301,8
OVRP,0,ok,7.1977329638,9
VRPB,0,ok,7.3473956890,4
VRPL,0,ok,10.2238208426,7
VRPTW,0,ok,13.6478154483,12
OVRPTW,0,ok,8.5524244739,14
OVRPB,0,ok,6.0770219815,5
OVRPL,0,ok,7.3465314747,8
VRPBL,0,ok,7.4646571475,4
VRPBTW,0,no_feasible_candidate,,
VRPLTW,0,ok,13.1090879652,10
OVRPBL,0,ok,7.3044687596,6
OVRPBTW,0,no_feasible_candidate,,
OVRPLTW,0,ok,9.1681053880,13
VRPBLTW,0,ok,12.8918082951,11
OVRPBLTW,0,no_feasible_candidate,,
